code,name,alpha,neg_days,avg_amount
600325.SH,华发股份,1.7426512446651956e-09,12,141441213.787
600775.SH,南京熊猫,1.7384550274026626e-09,11,173048703.509
600928.SH,西安银行,1.7336372540402046e-09,13,93965027.805
600993.SH,马应龙,1.7313477688152664e-09,12,102117647.689
600273.SH,嘉化能源,1.7254517648005574e-09,14,128436689.8145
600857.SH,宁波中百,1.717671075035941e-09,10,259584148.44899997
600797.SH,浙大网新,1.7034967181974943e-09,12,251701810.96599993
600959.SH,江苏有线,1.6893921743708605e-09,15,145277200.30400002
600740.SH,山西焦化,1.6595785153442613e-09,11,183093514.9335
600299.SH,安迪苏,1.65506716324128e-09,13,148195944.4805
600037.SH,歌华有线,1.648528003403467e-09,11,112786379.71199998
603589.SH,口子窖,1.638289276715711e-09,12,153215982.13300002
601112.SH,振石股份,1.6368079397575746e-09,10,170401890.6925
600211.SH,西藏药业,1.6275796901156857e-09,11,113111445.9095
600835.SH,上海机电,1.6164618275013412e-09,12,197835845.38149998
600295.SH,鄂尔多斯,1.6042606378611824e-09,8,139498584.882
600383.SH,金地集团,1.58799437732844e-09,12,161640582.82399997
600749.SH,西藏旅游,1.5743214661779424e-09,11,165848320.31300002
600408.SH,安泰集团,1.564358758712844e-09,12,305192635.33950007
601966.SH,玲珑轮胎,1.555218442781831e-09,11,131794538.30700001
600267.SH,海正药业,1.5357111704527e-09,13,134656065.68100002
600113.SH,浙江东日,1.5342900704831773e-09,13,240810918.1375
600827.SH,百联股份,1.5301790676688102e-09,9,101873494.9015
600280.SH,中央商场,1.5285390795309826e-09,8,359193041.5425
600739.SH,辽宁成大,1.5098632048205757e-09,13,128836056.42300001
600513.SH,联环药业,1.5075253863712774e-09,12,152848468.49499997
601155.SH,新城控股,1.4814076452343172e-09,14,215098222.8255
600566.SH,济川药业,1.48135557993049e-09,14,147077736.1945
601330.SH,绿色动力,1.4769004990504644e-09,14,248893879.011
603298.SH,杭叉集团,1.4746531557391992e-09,13,157081998.4375
600227.SH,赤天化,1.4626586441237933e-09,13,232540951.009
601139.SH,深圳燃气,1.4618123561645886e-09,14,139360689.0965
600728.SH,佳都科技,1.460714808916517e-09,11,141874660.41000003
600517.SH,国网英大,1.4576631186660688e-09,13,162186164.08049998
600803.SH,新奥股份,1.4208770763111918e-09,12,163000188.7405
600161.SH,天坛生物,1.4154452235261182e-09,14,161638386.78350002
600621.SH,华鑫股份,1.3994393066073145e-09,10,164388764.12150002
