date,A_VolBand_cum_pnl,A_VolBand_equity,B_Grid_cum_pnl,B_Grid_equity,C_Momentum_cum_pnl,C_Momentum_equity,D_Adaptive_cum_pnl,D_Adaptive_equity
2025-05-16,152591.3858382596,5923535.865438258,148552.64889163204,5919497.128491631,408689.4218412593,6179633.901441259,390152.0776408784,6161096.557240877
2025-05-19,152591.3858382596,5899523.865438258,148552.64889163204,5895485.128491631,408689.4218412593,6155621.901441259,390152.0776408784,6137084.557240877
2025-05-20,152591.3858382596,5892853.865438258,148552.64889163204,5888815.128491631,408689.4218412593,6148951.901441259,390152.0776408784,6130414.557240877
2025-05-21,152591.3858382596,5870842.865438258,148552.64889163204,5866804.128491631,408689.4218412593,6126940.901441259,390152.0776408784,6108403.557240877
2025-05-22,152591.3858382596,5844162.865438259,148552.64889163204,5840124.128491632,408689.4218412593,6100260.901441259,390152.0776408784,6081723.557240878
2025-05-23,152591.3858382596,5793470.865438258,148552.64889163204,5789432.128491631,408689.4218412593,6049568.901441259,390152.0776408784,6031031.557240877
2025-05-26,152591.3858382596,5804809.865438258,148552.64889163204,5800771.128491631,408689.4218412593,6060907.901441259,390152.0776408784,6042370.557240877
2025-05-27,152591.3858382596,5794804.865438258,148552.64889163204,5790766.128491631,408689.4218412593,6050902.901441259,390152.0776408784,6032365.557240877
2025-05-28,152591.3858382596,5805476.865438258,148552.64889163204,5801438.128491631,408689.4218412593,6061574.901441259,390152.0776408784,6043037.557240877
2025-05-29,152591.3858382596,5842828.865438258,148552.64889163204,5838790.128491631,413092.4334314238,6103329.913031423,390152.0776408784,6080389.557240877
2025-05-30,152591.3858382596,5769458.865438258,148552.64889163204,5765420.128491631,413092.4334314238,6029959.913031423,390152.0776408784,6007019.557240877
2025-06-03,160524.4916194619,5864768.971219461,170943.8076603256,5875188.287260325,417897.2485524753,6122141.728152474,396526.761728187,6100771.241328186
2025-06-04,168440.1828462287,5932047.662446228,170943.8076603256,5934551.287260325,422673.6391390508,6186281.11873905,402878.1836028233,6166485.663202822
2025-06-05,179000.70155173272,5987297.181151733,174070.5211899256,5982367.000789925,435058.92203168845,6243355.401631689,420737.2526226413,6229033.732222641
2025-06-06,179000.70155173272,5993300.181151732,174070.5211899256,5988370.0007899245,435058.92203168845,6249358.401631689,420737.2526226413,6235036.732222641
2025-06-09,190214.09599852806,5985170.575598527,174070.5211899256,5969027.0007899245,443159.3530757941,6238115.832675794,431190.33236656757,6226146.811966566
2025-06-10,190214.09599852806,5955822.575598528,174070.5211899256,5939679.000789925,443159.3530757941,6208767.832675794,431190.33236656757,6196798.811966567
2025-06-11,190214.09599852806,5932477.575598527,174070.5211899256,5916334.0007899245,443159.3530757941,6185422.832675794,431190.33236656757,6173453.811966566
2025-06-12,190214.09599852806,5942482.575598527,174070.5211899256,5926339.0007899245,443159.3530757941,6195427.832675794,431190.33236656757,6183458.811966566
2025-06-13,190214.09599852806,5910466.575598528,177152.97833552564,5897405.457935525,451397.0673378611,6171649.546937861,431190.33236656757,6151442.811966567
2025-06-16,190214.09599852806,6001178.575598527,177152.97833552564,5988117.457935525,451397.0673378611,6262361.546937861,431190.33236656757,6242154.811966566
2025-06-17,190214.09599852806,5975832.575598527,177152.97833552564,5962771.457935525,451397.0673378611,6237015.546937861,431190.33236656757,6216808.811966566
2025-06-18,190214.09599852806,5995175.575598527,177152.97833552564,5982114.457935525,451397.0673378611,6256358.546937861,431190.33236656757,6236151.811966566
2025-06-19,190214.09599852806,6149252.575598527,177152.97833552564,6136191.457935525,451397.0673378611,6410435.546937861,431190.33236656757,6390228.811966566
2025-06-20,190214.09599852806,6247968.575598527,180553.52824112566,6238308.007841125,474956.10871386103,6532710.588313861,439910.17765756755,6497664.657257566
2025-06-23,190214.09599852806,6218620.575598527,180553.52824112566,6208960.007841125,474956.10871386103,6503362.588313861,439910.17765756755,6468316.657257566
2025-06-24,190214.09599852806,6227958.575598527,184081.31525072566,6221825.794850725,487175.85538911,6524920.33498911,448956.2901385675,6486700.769738566
2025-06-25,190214.09599852806,6244633.575598527,184081.31525072566,6238500.794850725,487175.85538911,6541595.33498911,448956.2901385675,6503375.769738566
2025-06-26,190214.09599852806,6269312.575598527,184081.31525072566,6263179.794850725,487175.85538911,6566274.33498911,448956.2901385675,6528054.769738566
2025-06-27,208026.56980287086,6345821.04940287,195004.60596752563,6332799.085567525,524925.8901615138,6662720.369761514,474758.5870875974,6612553.066687597
2025-06-30,208026.56980287086,6408519.04940287,198682.68028112562,6399175.159881124,524925.8901615138,6725418.369761514,474758.5870875974,6675251.066687597
2025-07-01,208026.56980287086,6363830.04940287,198682.68028112562,6354486.159881124,524925.8901615138,6680729.369761514,474758.5870875974,6630562.066687597
2025-07-02,208026.56980287086,6300465.04940287,198682.68028112562,6291121.159881124,524925.8901615138,6617364.369761514,474758.5870875974,6567197.066687597
2025-07-03,208026.56980287086,6319808.04940287,198682.68028112562,6310464.159881124,524925.8901615138,6636707.369761514,474758.5870875974,6586540.066687597
2025-07-04,208026.56980287086,6237100.04940287,198682.68028112562,6227756.159881124,524925.8901615138,6553999.369761514,474758.5870875974,6503832.066687597
2025-07-07,208026.56980287086,6199748.04940287,198682.68028112562,6190404.159881125,524925.8901615138,6516647.369761514,474758.5870875974,6466480.066687597
2025-07-08,208026.56980287086,6317807.04940287,198682.68028112562,6308463.159881124,524925.8901615138,6634706.369761514,474758.5870875974,6584539.066687597
2025-07-09,208026.56980287086,6271117.04940287,198682.68028112562,6261773.159881125,524925.8901615138,6588016.369761514,474758.5870875974,6537849.066687597
2025-07-10,208026.56980287086,6296463.04940287,198682.68028112562,6287119.159881124,524925.8901615138,6613362.369761514,474758.5870875974,6563195.066687597
2025-07-11,208026.56980287086,6267782.04940287,198682.68028112562,6258438.159881124,524925.8901615138,6584681.369761514,474758.5870875974,6534514.066687597
2025-07-14,208026.56980287086,6317140.04940287,198682.68028112562,6307796.159881124,524925.8901615138,6634039.369761514,474758.5870875974,6583872.066687597
2025-07-15,208026.56980287086,6321142.04940287,198682.68028112562,6311798.159881125,524925.8901615138,6638041.369761514,474758.5870875974,6587874.066687597
2025-07-16,208026.56980287086,6320475.04940287,198682.68028112562,6311131.159881124,524925.8901615138,6637374.369761514,474758.5870875974,6587207.066687597
2025-07-17,208026.56980287086,6583273.04940287,198682.68028112562,6573929.159881125,524925.8901615138,6900172.369761514,474758.5870875974,6850005.066687597
2025-07-18,228731.50624196848,6545948.985841967,202659.48518672562,6519876.964786725,567690.3639928051,6884907.843592804,504335.4315980635,6821552.911198063
2025-07-21,228731.50624196848,6511931.985841967,202659.48518672562,6485859.964786725,567690.3639928051,6850890.843592804,504335.4315980635,6787535.911198063
2025-07-22,228731.50624196848,6476580.985841967,202659.48518672562,6450508.964786725,567690.3639928051,6815539.843592804,504335.4315980635,6752184.911198063
2025-07-23,228731.50624196848,6469910.985841967,206419.61821232561,6447599.097812325,567690.3639928051,6808869.843592804,513977.3363390634,6755156.815939062
2025-07-24,228731.50624196848,6421219.985841967,206419.61821232561,6398908.097812325,567690.3639928051,6760178.843592804,513977.3363390634,6706465.815939062
2025-07-25,228731.50624196848,6401876.985841967,206419.61821232561,6379565.097812325,567690.3639928051,6740835.843592804,513977.3363390634,6687122.815939062
2025-07-28,228731.50624196848,6407879.985841967,206419.61821232561,6385568.097812325,567690.3639928051,6746838.843592804,513977.3363390634,6693125.815939062
