date,open,close,high,low,change_pct,turnover_pct,amplitude_pct,ratio,vol_shou,amount_yuan,direction,price_position
2025-11-07,82.0,81.73,82.79,80.2,-1.77,1.72,3.11,0.9717514124293785,69761.0,568249317.0,下跌,1.7528984935720484
2025-11-07,82.0,81.73,82.79,80.2,-1.77,1.72,3.11,0.9717514124293785,69761.0,568249317.0,下跌,1.7528984935720484
2025-11-10,80.79,79.95,82.0,78.03,-2.18,2.15,4.86,0.9862385321100916,87226.0,692371589.0,下跌,1.4019244419906933
2025-11-10,80.79,79.95,82.0,78.03,-2.18,2.15,4.86,0.9862385321100916,87226.0,692371589.0,下跌,1.4019244419906933
2025-11-11,81.21,79.39,81.77,78.71,-0.7,1.86,3.83,2.6571428571428575,75636.0,606934715.0,下跌,1.291505639245997
2025-11-11,81.21,79.39,81.77,78.71,-0.7,1.86,3.83,2.6571428571428575,75636.0,606934715.0,下跌,1.291505639245997
2025-11-12,79.4,78.25,79.78,76.76,-1.44,1.54,3.8,1.0694444444444444,62425.0,485990374.0,下跌,1.0667245050871514
2025-11-12,79.4,78.25,79.78,76.76,-1.44,1.54,3.8,1.0694444444444444,62425.0,485990374.0,下跌,1.0667245050871514
2025-11-13,78.2,78.35,79.06,77.38,0.13,1.35,2.15,10.384615384615385,55029.0,430152505.0,上涨,1.0864421484344173
2025-11-13,78.2,78.35,79.06,77.38,0.13,1.35,2.15,10.384615384615385,55029.0,430152505.0,上涨,1.0864421484344173
2025-11-14,77.22,79.44,82.62,76.18,1.39,3.7,8.22,2.6618705035971226,150416.0,1199514764.0,上涨,1.30136446091963
2025-11-14,77.22,79.44,82.62,76.18,1.39,3.7,8.22,2.6618705035971226,150416.0,1199514764.0,上涨,1.30136446091963
2025-11-17,78.44,81.1,83.0,78.4,2.09,3.14,5.79,1.5023923444976077,127589.0,1029005626.0,上涨,1.6286773404842636
