A股全量股票涨跌幅排行榜
基准日期: 2026-06-25  截止日期: 2026-07-14  生成时间: 2026-07-14 09:14:06
有效股票数: 5,194  上涨: 1,402  下跌: 3,769  中位数: -5.77%  平均: -6.45%
最大涨幅: +127.43%  最大跌幅: -54.61%

+-------+---------+-------------+---------------+-----------+-----------+-----------+-----------+---------+---------+-------+-------+------+---------+
|  排名  |   代码   |     名称     |      行业      |   总市值   |  基准日价  |   当前价   |   涨跌幅   |  前导天  |  天数比  |  风险  |  机会  | 象限  |    PE    |
|     95 |  002201  | 九鼎新材     | 未知           |       49亿 |      12.29 |       8.11 |    -34.01% |      120 |    10.0x |     64 |     56 |   Y   |     58.9 |
|     96 |  300606  | 金太阳       | 未知           |       36亿 |      45.96 |      30.33 |    -34.01% |       12 |     1.0x |     42 |     78 |   G   |    209.5 |
|     97 |  603936  | 博敏电子     | 未知           |      110亿 |      26.42 |      17.44 |    -33.99% |       33 |     2.8x |     57 |     62 |   Y   |     亏损 |
|     98 |  600141  | 兴发集团     | 未知           |      377亿 |      47.48 |      31.35 |    -33.97% |        8 |     0.7x |     42 |     72 |   G   |     26.2 |
|     99 |  002645  | 华宏科技     | 未知           |      138亿 |      30.75 |      20.31 |    -33.95% |       26 |     2.2x |     57 |     62 |   Y   |     39.3 |
|    100 |  300825  | 阿尔特       | 未知           |       53亿 |      16.53 |      10.92 |    -33.94% |       27 |     2.2x |     71 |     55 |   Y   |     亏损 |
|    101 |  600596  | 新安股份     | 未知           |      153亿 |      17.15 |      11.33 |    -33.94% |       18 |     1.5x |     50 |     72 |   G   |     72.8 |
|    102 |  300913  | 兆龙互连     | 未知           |      105亿 |      55.66 |      36.83 |    -33.83% |     >237 |    19.8x |     70 |     58 |   Y   |     51.0 |
|    103 |  300195  | 长荣股份     | 未知           |       16亿 |       7.49 |       4.96 |    -33.78% |        3 |     0.2x |     42 |     46 |   W   |     亏损 |
|    104 |  301662  | 宏工科技     | 未知           |       31亿 |     106.20 |      70.36 |    -33.75% |      120 |    10.0x |     64 |     45 |   R   |     68.8 |
|    105 |  001267  | 汇绿生态     | 未知           |      251亿 |      62.23 |      41.28 |    -33.67% |       42 |     3.5x |     57 |     40 |   R   |    389.9 |
