time,equity,cash,position,price,unfinished_abs,occupied
2026-05-28T13:18:00,177592.2245,177592.2245,0,362.93,200,77702.0
2026-05-28T13:19:00,177592.2245,177592.2245,0,363.89,200,77702.0
2026-05-28T13:20:00,177592.2245,177592.2245,0,363.91,200,77702.0
2026-05-28T13:21:00,177592.2245,177592.2245,0,364.86,200,77702.0
2026-05-28T13:22:00,177592.2245,177592.2245,0,366.38,200,77702.0
2026-05-28T13:23:00,177592.2245,177592.2245,0,367.69,200,77702.0
2026-05-28T13:24:00,177592.2245,177592.2245,0,365.1,200,77702.0
2026-05-28T13:25:00,177592.2245,177592.2245,0,366.38,200,77702.0
2026-05-28T13:26:00,177592.2245,177592.2245,0,367.79,200,77702.0
2026-05-28T13:27:00,177592.2245,177592.2245,0,369.2,200,77702.0
2026-05-28T13:28:00,177592.2245,177592.2245,0,369.54,200,77702.0
2026-05-28T13:29:00,177592.2245,177592.2245,0,368.98,200,77702.0
2026-05-28T13:30:00,177592.2245,177592.2245,0,368.0,200,77702.0
2026-05-28T13:31:00,177592.2245,177592.2245,0,368.0,200,77702.0
2026-05-28T13:32:00,177592.2245,177592.2245,0,368.4,200,77702.0
2026-05-28T13:33:00,177592.2245,177592.2245,0,367.4,200,77702.0
2026-05-28T13:34:00,177592.2245,177592.2245,0,368.24,200,77702.0
2026-05-28T13:35:00,177592.2245,177592.2245,0,368.49,200,77702.0
2026-05-28T13:36:00,177592.2245,177592.2245,0,369.31,200,77702.0
2026-05-28T13:37:00,177592.2245,177592.2245,0,368.74,200,77702.0
2026-05-28T13:38:00,177592.2245,177592.2245,0,368.55,200,77702.0
2026-05-28T13:39:00,177592.2245,177592.2245,0,368.81,200,77702.0
2026-05-28T13:40:00,177592.2245,177592.2245,0,369.99,200,77702.0
2026-05-28T13:41:00,177592.2245,177592.2245,0,369.96,200,77702.0
2026-05-28T13:42:00,177592.2245,177592.2245,0,369.98,200,77702.0
2026-05-28T13:43:00,177592.2245,177592.2245,0,369.01,200,77702.0
2026-05-28T13:44:00,177592.2245,177592.2245,0,369.33,200,77702.0
2026-05-28T13:45:00,177592.2245,177592.2245,0,369.98,200,77702.0
2026-05-28T13:46:00,177592.2245,177592.2245,0,370.53,200,77702.0
2026-05-28T13:47:00,177592.2245,177592.2245,0,370.92,200,77702.0
2026-05-28T13:48:00,177592.2245,177592.2245,0,370.82,200,77702.0
2026-05-28T13:49:00,177592.2245,177592.2245,0,370.0,200,77702.0
2026-05-28T13:50:00,177592.2245,177592.2245,0,371.26,200,77702.0
2026-05-28T13:51:00,177592.2245,177592.2245,0,369.98,200,77702.0
2026-05-28T13:52:00,177592.2245,177592.2245,0,369.76,200,77702.0
2026-05-28T13:53:00,177592.2245,177592.2245,0,370.04,200,77702.0
2026-05-28T13:54:00,177592.2245,177592.2245,0,369.88,200,77702.0
2026-05-28T13:55:00,177592.2245,177592.2245,0,369.78,200,77702.0
2026-05-28T13:56:00,177592.2245,177592.2245,0,369.11,200,77702.0
2026-05-28T13:57:00,177592.2245,177592.2245,0,369.63,200,77702.0
2026-05-28T13:58:00,177592.2245,177592.2245,0,369.72,200,77702.0
2026-05-28T13:59:00,177592.2245,177592.2245,0,369.22,200,77702.0
2026-05-28T14:00:00,177592.2245,177592.2245,0,369.24,200,77702.0
2026-05-28T14:01:00,177592.2245,177592.2245,0,369.91,200,77702.0
2026-05-28T14:02:00,177592.2245,177592.2245,0,369.87,200,77702.0
2026-05-28T14:03:00,177592.2245,177592.2245,0,369.69,200,77702.0
2026-05-28T14:04:00,177592.2245,177592.2245,0,370.5,200,77702.0
2026-05-28T14:05:00,177592.2245,177592.2245,0,370.37,200,77702.0
2026-05-28T14:06:00,177592.2245,177592.2245,0,371.0,200,77702.0
2026-05-28T14:07:00,177592.2245,177592.2245,0,370.94,200,77702.0
2026-05-28T14:08:00,177592.2245,177592.2245,0,371.58,200,77702.0
2026-05-28T14:09:00,177592.2245,177592.2245,0,371.56,200,77702.0
2026-05-28T14:10:00,177592.2245,177592.2245,0,371.37,200,77702.0
2026-05-28T14:11:00,177592.2245,177592.2245,0,370.75,200,77702.0
2026-05-28T14:12:00,177592.2245,177592.2245,0,370.1,200,77702.0
2026-05-28T14:13:00,177592.2245,177592.2245,0,370.31,200,77702.0
2026-05-28T14:14:00,177592.2245,177592.2245,0,370.2,200,77702.0
