code,name,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,screen_ma5,screen_ma20,screen_atr14,screen_pullback_atr,screen_atr_percent,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
300390.SZ,天华新能,20260512,09:35:00,102.9414,20260513,10:00:00,99.1004,100,FORCE_1000,109.046,90.6625,8.154286,0.503539,7.729181,5.0,5.0,9.91004,-404.01004,-3.9227551038242034
301526.SZ,国际复材,20260512,09:37:00,17.7389,20260513,09:32:00,18.1827,100,SELLBACK,18.232,15.425,1.36,0.405882,7.395324,5.0,5.0,1.81827,32.56173,1.8304521358824883
000967.SZ,盈峰环境,20260512,09:46:00,14.7073,20260513,10:00:00,13.3633,100,FORCE_1000,15.08,13.176,1.267857,0.362817,8.624879,5.0,5.0,1.33633,-145.73633,-9.87554159636248
688629.SH,华丰科技,20260512,13:01:00,134.6398,20260513,10:00:00,131.7341,100,FORCE_1000,138.822,133.6215,10.562857,0.406329,7.571398,5.0,5.0,13.17341,-313.74341,-2.3293776514628424
301526.SZ,国际复材,20260513,09:34:00,18.069,20260514,09:31:00,20.1497,100,SELLBACK,18.566,15.6865,1.410714,0.840709,7.956651,5.0,5.0,2.01497,196.05503,10.820411170594404
000062.SZ,深圳华强,20260513,09:35:00,35.3877,20260514,09:31:00,36.7448,100,SELLBACK,37.272,33.143,2.782143,0.500334,7.440874,5.0,5.0,3.67448,122.03552,3.443663668917565
688702.SH,盛科通信-U,20260513,09:35:00,291.0755,20260514,09:31:00,314.0284,100,SELLBACK,311.582,266.613,31.897857,0.522982,10.6968,7.276887,7.85071,31.40284,2248.759562,7.723760717139864
001203.SZ,大中矿业,20260513,10:01:00,45.4586,20260514,10:00:00,45.5872,100,FORCE_1000,48.338,46.2395,3.279286,0.636724,7.207221,5.0,5.0,4.55872,-1.69872,-0.03732745019622665
300857.SZ,协创数据,20260513,10:02:00,282.8614,20260514,09:31:00,305.5412,100,SELLBACK,281.082,240.192214,20.302551,0.742862,7.503622,7.071535,7.63853,30.55412,2222.715815,7.856003947273354
000967.SZ,盈峰环境,20260513,10:05:00,13.4067,20260514,09:31:00,14.9476,100,SELLBACK,15.136,13.3935,1.307143,1.320437,9.52728,5.0,5.0,1.49476,142.59524,10.59659797721581
000062.SZ,深圳华强,20260514,09:38:00,35.7979,20260515,10:00:00,32.6337,100,FORCE_1000,37.256,33.559,2.807143,0.50799,7.628106,5.0,5.0,3.26337,-329.68337,-9.196727562841897
300390.SZ,天华新能,20260514,09:50:00,100.06,20260515,10:00:00,99.5402,100,FORCE_1000,104.316,94.225,8.258571,0.60858,8.274293,5.0,5.0,9.95402,-71.93402,-0.7185497952252522
301358.SZ,湖南裕能,20260514,09:50:00,97.4139,20260515,10:00:00,95.7961,100,FORCE_1000,99.732,91.625,6.922857,0.433058,7.078297,5.0,5.0,9.57961,-181.35961,-1.8607875326146401
000967.SZ,盈峰环境,20260514,09:58:00,14.3701,20260515,10:00:00,13.3933,100,FORCE_1000,15.164,13.635,1.394286,0.347131,9.332568,5.0,5.0,1.33933,-109.01933,-7.560233978959924
000539.SZ,粤电力Ａ,20260515,09:57:00,6.8334,20260518,09:31:00,7.0993,100,SELLBACK,7.324,6.66,0.619286,0.603922,8.589261,5.0,5.0,0.70993,15.88007,2.307009617340268
300136.SZ,信维通信,20260515,09:57:00,98.6093,20260518,09:31:00,103.5046,100,SELLBACK,108.436,88.696,8.081429,0.61697,7.887399,5.0,5.0,10.35046,469.17954,4.755553100417295
601016.SH,节能风电,20260515,09:57:00,4.8695,20260518,09:32:00,4.9896,100,SELLBACK,5.17105,4.56005,0.410714,0.569739,8.057882,5.0,5.0,0.49896,1.51104,0.3071531659721516
000967.SZ,盈峰环境,20260515,10:13:00,13.6568,20260518,10:00:00,13.3033,100,FORCE_1000,14.73,13.816,1.407857,0.539827,9.97066,5.0,5.0,1.33033,-46.68033,-3.405632970496396
688387.SH,信科移动-U,20260515,10:13:00,19.8099,20260518,09:31:00,20.0599,100,SELLBACK,21.78,18.947,1.500714,0.799619,7.285021,5.0,5.0,2.00599,12.99401,0.6542837577228485
688702.SH,盛科通信-U,20260515,10:13:00,284.9844,20260518,09:37:00,289.4653,100,SELLBACK,304.162,274.513,32.005,0.420622,10.960992,7.12461,7.236633,28.94653,404.782228,1.4200112628465493
603256.SH,宏和科技,20260515,11:19:00,136.6803,20260518,10:00:00,131.7461,100,FORCE_1000,146.974,120.112,9.923571,0.493975,7.000163,5.0,5.0,13.17461,-516.59461,-3.778201393546273
300390.SZ,天华新能,20260515,14:18:00,94.8774,20260518,10:00:00,93.2833,100,FORCE_1000,101.404,95.041,8.355,0.47325,8.656237,5.0,5.0,9.32833,-178.73833,-1.8828950334676815
301526.SZ,国际复材,20260518,10:10:00,19.0595,20260519,10:00:00,17.971,100,FORCE_1000,18.838,16.4695,1.742143,0.331775,9.321257,5.0,5.0,1.7971,-120.6471,-6.313461890682643
601016.SH,节能风电,20260518,10:15:00,4.9443,20260519,10:00:00,5.0145,100,FORCE_1000,5.19705,4.60755,0.438571,0.615635,8.72423,5.0,5.0,0.50145,-3.48145,-0.6970846765312457
688347.SH,华虹宏力,20260518,10:17:00,152.3261,20260519,10:00:00,143.3583,100,FORCE_1000,158.728,142.449,12.427857,0.601713,8.28027,5.0,5.0,14.33583,-921.11583,-6.045015130325556
300751.SZ,迈为股份,20260518,10:35:00,262.4612,20260519,10:00:00,250.7646,100,FORCE_1000,272.922,245.379,19.51,0.536238,7.514251,6.56153,6.269115,25.07646,-1207.567105,-4.599785753771721
688387.SH,信科移动-U,20260518,10:50:00,20.3001,20260519,10:00:00,19.2804,100,FORCE_1000,21.388,19.1115,1.517857,0.993506,7.662075,5.0,5.0,1.92804,-113.89804,-5.596927779224671
000539.SZ,粤电力Ａ,20260518,10:58:00,6.9935,20260519,10:00:00,6.9165,100,FORCE_1000,7.286,6.7245,0.620714,0.364097,9.02201,5.0,5.0,0.69165,-18.39165,-2.6111521260736845
300604.SZ,长川科技,20260518,11:06:00,210.2951,20260519,10:00:00,206.9465,100,FORCE_1000,215.472,176.7355,15.435714,0.480185,7.371401,5.257377,5.173662,20.69465,-365.98569,-1.7399084260445847
301358.SZ,湖南裕能,20260518,11:06:00,93.4707,20260519,10:00:00,89.2094,100,FORCE_1000,97.044,93.0645,7.115,0.52565,7.479711,5.0,5.0,8.92094,-445.05094,-4.758849538123646
688387.SH,信科移动-U,20260519,10:01:00,19.2196,20260520,09:33:00,19.4708,100,SELLBACK,20.852,19.2555,1.55,0.769032,7.840162,5.0,5.0,1.94708,13.17292,0.6836114916760078
300395.SZ,菲利华,20260519,10:40:00,129.975,20260520,09:31:00,131.6523,100,SELLBACK,141.782,121.633,9.801429,0.600117,7.128312,5.0,5.0,13.16523,144.56477,1.1118228802153434
603256.SH,宏和科技,20260519,10:40:00,134.149,20260520,09:31:00,135.7282,100,SELLBACK,140.32,123.3875,9.776429,0.911171,7.439525,5.0,5.0,13.57282,134.34718,1.0011041811041812
688234.SH,天岳先进,20260519,10:40:00,146.7433,20260520,10:00:00,146.2668,100,FORCE_1000,150.856,116.255,11.9,0.534118,7.941805,5.0,5.0,14.62668,-72.27668,-0.49237042835061273
300751.SZ,迈为股份,20260519,10:46:00,251.7558,20260520,09:31:00,274.0884,100,SELLBACK,266.62,246.939,19.67,0.486528,7.74806,6.293895,6.85221,27.40884,2192.705055,8.707473733459423
300857.SZ,协创数据,20260519,10:55:00,265.7028,20260520,09:31:00,271.7918,100,SELLBACK,281.14,263.192286,20.778571,0.512066,7.636373,6.64257,6.794795,27.17918,568.283455,2.138259061045231
600498.SH,烽火通信,20260519,13:10:00,53.7907,20260520,09:31:00,56.7977,100,SELLBACK,57.795,53.6535,3.961429,0.553336,7.06477,5.0,5.0,5.67977,285.02023,5.293769026034209
300570.SZ,太辰光,20260519,13:12:00,150.1238,20260520,09:31:00,154.4481,100,SELLBACK,169.264,150.1845,13.729286,1.111784,8.616887,5.0,5.0,15.44481,406.98519,2.71009450383489
