code,name,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
002044.SZ,美年健康,20260120,09:36:00,7.2162,20260121,09:31:00,7.32,100,SELLBACK,5.0,5.0,0.732,-0.352,-0.048443478021524315
002465.SZ,海格通信,20260120,09:36:00,18.6993,20260121,10:00:00,17.4113,100,FORCE_1000,5.0,5.0,1.74113,-140.54113,-7.495806776786333
600498.SH,烽火通信,20260120,09:36:00,40.033,20260121,10:00:00,37.0645,100,FORCE_1000,5.0,5.0,3.70645,-310.55645,-7.747834493426139
601106.SH,中国一重,20260120,09:36:00,5.148,20260121,10:00:00,4.9675,100,FORCE_1000,5.0,5.0,0.49675,-28.54675,-5.491871873797615
603000.SH,人民网,20260120,09:36:00,23.8289,20260121,09:40:00,24.0808,100,SELLBACK,5.0,5.0,2.40808,12.78192,0.5352809384016851
002153.SZ,石基信息,20260121,09:41:00,14.7073,20260122,10:00:00,13.8431,100,FORCE_1000,5.0,5.0,1.38431,-97.80431,-6.627520616915018
002044.SZ,美年健康,20260121,09:43:00,7.4347,20260122,09:31:00,7.6295,100,SELLBACK,5.0,5.0,0.76295,8.71705,1.1646492177375178
600595.SH,中孚实业,20260121,09:53:00,9.2096,20260122,09:31:00,9.3609,100,SELLBACK,5.0,5.0,0.93609,4.19391,0.4529256123374659
600637.SH,东方明珠,20260121,09:57:00,11.5704,20260122,10:00:00,11.6642,100,FORCE_1000,5.0,5.0,1.16642,-1.78642,-0.1537313689718082
688375.SH,国博电子,20260121,09:57:00,125.1866,20260122,10:00:00,125.5012,100,FORCE_1000,5.0,5.0,12.55012,8.90988,0.07114437792147024
688615.SH,合合信息,20260121,10:03:00,211.4128,20260122,09:57:00,214.214,100,SELLBACK,5.28532,5.35535,21.4214,248.05793,1.1730412303192888
300724.SZ,捷佳伟创,20260121,10:04:00,107.3136,20260122,10:00:00,105.7471,100,FORCE_1000,5.0,5.0,10.57471,-177.22471,-1.6506964185254591
300136.SZ,信维通信,20260121,10:08:00,74.8674,20260122,10:00:00,75.0225,100,FORCE_1000,5.0,5.0,7.50225,-1.99225,-0.026592620672901086
688387.SH,信科移动-U,20260122,09:35:00,17.3287,20260123,09:31:00,19.7703,100,SELLBACK,5.0,5.0,1.97703,232.18297,13.36020358254645
688037.SH,芯源微,20260122,09:42:00,210.5292,20260123,10:00:00,201.1234,100,FORCE_1000,5.26323,5.028085,20.11234,-970.983655,-4.610956436245236
300346.SZ,南大光电,20260122,09:59:00,58.8294,20260123,10:00:00,57.6112,100,FORCE_1000,5.0,5.0,5.76112,-137.58112,-2.3366596806353326
688017.SH,绿的谐波,20260122,10:23:00,209.7448,20260123,09:31:00,214.2483,100,SELLBACK,5.24362,5.356208,21.42483,418.325343,1.9939506858003115
688331.SH,荣昌生物,20260122,10:27:00,100.6813,20260123,09:45:00,101.8371,100,SELLBACK,5.0,5.0,10.18371,95.39629,0.9470372168332981
600498.SH,烽火通信,20260122,10:56:00,36.9415,20260123,09:31:00,39.4637,100,SELLBACK,5.0,5.0,3.94637,238.27363,6.441307597691362
688568.SH,中科星图,20260122,11:01:00,74.2471,20260123,09:31:00,75.9739,100,SELLBACK,5.0,5.0,7.59739,155.08261,2.0873305956760086
688172.SH,燕东微,20260122,11:08:00,35.6678,20260123,09:35:00,36.0459,100,SELLBACK,5.0,5.0,3.60459,24.20541,0.6776847958160918
002131.SZ,利欧股份,20260123,09:35:00,8.014,20260126,09:31:00,8.2376,100,SELLBACK,5.0,5.0,0.82376,11.53624,1.4305853174603174
688361.SH,中科飞测,20260123,09:35:00,192.5962,20260126,09:31:00,195.7061,100,SELLBACK,5.0,5.0,19.57061,281.41939,1.460809452768858
301611.SZ,珂玛科技,20260123,09:41:00,128.6643,20260126,09:31:00,134.6977,100,SELLBACK,5.0,5.0,13.46977,579.87023,4.505095626515469
300567.SZ,精测电子,20260123,09:42:00,142.3912,20260126,09:31:00,146.0806,100,SELLBACK,5.0,5.0,14.60806,344.33194,2.4173619711150987
002153.SZ,石基信息,20260123,09:52:00,13.7869,20260126,10:00:00,13.3233,100,FORCE_1000,5.0,5.0,1.33233,-57.69233,-4.169454863444847
603179.SH,新泉股份,20260123,09:52:00,67.8696,20260126,10:00:00,66.8023,100,FORCE_1000,5.0,5.0,6.68023,-123.41023,-1.8170046643384234
688172.SH,燕东微,20260123,10:29:00,35.3233,20260126,09:31:00,36.1557,100,SELLBACK,5.0,5.0,3.61557,69.62443,1.96827635533015
000021.SZ,深科技,20260123,10:38:00,30.2551,20260126,09:31:00,30.624,100,SELLBACK,5.0,5.0,3.0624,23.8276,0.786257098640163
002131.SZ,利欧股份,20260126,09:35:00,8.2941,20260127,10:00:00,8.066,100,FORCE_1000,5.0,5.0,0.8066,-33.6166,-4.028786807444781
002064.SZ,华峰化学,20260126,09:39:00,12.4162,20260127,09:32:00,12.661,100,SELLBACK,5.0,5.0,1.2661,13.2139,1.0599781810014282
301611.SZ,珂玛科技,20260126,09:39:00,127.4637,20260127,09:47:00,129.2259,100,SELLBACK,5.0,5.0,12.92259,153.29741,1.2022034495116996
688361.SH,中科飞测,20260126,09:43:00,192.3261,20260127,09:35:00,195.107,100,SELLBACK,5.0,5.0,19.5107,248.5793,1.292152715436065
688234.SH,天岳先进,20260126,09:50:00,106.6633,20260127,10:00:00,92.8336,100,FORCE_1000,5.0,5.0,9.28336,-1402.25336,-13.14038043992642
300666.SZ,江丰电子,20260126,09:51:00,117.9329,20260127,10:00:00,116.8955,100,FORCE_1000,5.0,5.0,11.68955,-125.42955,-1.0631163499117244
002153.SZ,石基信息,20260126,10:00:00,13.3367,20260127,09:31:00,13.6295,100,SELLBACK,5.0,5.0,1.36295,17.91705,1.3384217170773978
002409.SZ,雅克科技,20260126,10:00:00,91.5858,20260127,10:00:00,90.5847,100,FORCE_1000,5.0,5.0,9.05847,-119.16847,-1.300457572258877
300567.SZ,精测电子,20260127,09:34:00,140.7503,20260128,09:31:00,149.5754,100,SELLBACK,5.0,5.0,14.95754,857.55246,6.090558471821438
600879.SH,航天电子,20260127,09:34:00,28.9935,20260128,10:00:00,27.8451,100,FORCE_1000,5.0,5.0,2.78451,-127.62451,-4.394253791726204
601179.SH,中国西电,20260127,09:36:00,15.8039,20260128,10:00:00,15.1884,100,FORCE_1000,5.0,5.0,1.51884,-73.06884,-4.608887403099552
603650.SH,彤程新材,20260127,09:47:00,58.0726,20260128,09:31:00,59.1711,100,SELLBACK,5.0,5.0,5.91711,93.93289,1.6161164503996726
301611.SZ,珂玛科技,20260127,10:03:00,127.6438,20260128,09:31:00,130.7037,100,SELLBACK,5.0,5.0,13.07037,282.91963,2.2156097633557774
600170.SH,上海建工,20260127,10:03:00,2.8148,20260128,09:31:00,2.8507,100,SELLBACK,5.0,5.0,0.28507,-6.69507,-2.3370113096900305
601611.SH,中国核建,20260127,10:03:00,15.938,20260128,09:31:00,16.3255,100,SELLBACK,5.0,5.0,1.63255,27.11745,1.6961127095321493
000559.SZ,万向钱潮,20260127,10:10:00,18.1291,20260128,10:00:00,17.7411,100,FORCE_1000,5.0,5.0,1.77411,-50.57411,-2.7819919577976906
000830.SZ,鲁西化工,20260128,09:34:00,19.0795,20260129,09:31:00,20.3095,100,SELLBACK,5.0,5.0,2.03095,110.96905,5.800938341305313
603225.SH,新凤鸣,20260128,09:34:00,20.8704,20260129,09:31:00,21.5177,100,SELLBACK,5.0,5.0,2.15177,52.57823,2.513251658668094
000987.SZ,越秀资本,20260128,09:35:00,10.4352,20260129,10:00:00,10.3548,100,FORCE_1000,5.0,5.0,1.03548,-19.07548,-1.8192766947697707
002271.SZ,东方雨虹,20260128,09:35:00,16.5283,20260129,09:31:00,16.8247,100,SELLBACK,5.0,5.0,1.68247,17.95753,1.0831948993563874
002044.SZ,美年健康,20260128,09:36:00,7.1146,20260129,09:46:00,7.2102,100,SELLBACK,5.0,5.0,0.72102,-1.16102,-0.16204952125729277
301200.SZ,大族数控,20260128,10:01:00,167.4637,20260129,10:00:00,162.1389,100,FORCE_1000,5.0,5.0,16.21389,-558.69389,-3.3352131198821358
601608.SH,中信重工,20260128,10:01:00,7.641,20260129,09:31:00,7.9153,100,SELLBACK,5.0,5.0,0.79153,16.63847,2.163368872708361
688778.SH,厦钨新能,20260128,10:02:00,89.7549,20260129,09:31:00,90.8236,100,SELLBACK,5.0,5.0,9.08236,87.78764,0.9775373058708378
300058.SZ,蓝色光标,20260129,09:34:00,20.8304,20260130,09:31:00,22.7558,100,SELLBACK,5.0,5.0,2.27558,180.26442,8.633188061531389
301611.SZ,珂玛科技,20260129,09:34:00,127.2236,20260130,10:00:00,122.4687,100,FORCE_1000,5.0,5.0,12.24687,-497.73687,-3.9107628761974205
688387.SH,信科移动-U,20260129,09:34:00,17.9089,20260130,09:31:00,19.1313,100,SELLBACK,5.0,5.0,1.91313,110.32687,6.143297752089493
