code,name,screen_date,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
300627.SZ,华测导航,20260113,20260114,10:00:00,40.4502,20260115,10:00:00,39.7701,100,FORCE_1000,5.0,5.0,3.97701,-81.98701,-2.02436062044138
603920.SH,世运电路,20260113,20260114,10:00:00,51.7859,20260115,09:31:00,54.1187,100,SELLBACK,5.0,5.0,5.41187,217.86813,4.203035541005365
688347.SH,华虹宏力,20260113,20260114,10:13:00,127.7739,20260115,10:00:00,125.3973,100,FORCE_1000,5.0,5.0,12.53973,-260.19973,-2.035610945996797
300058.SZ,蓝色光标,20260115,20260116,09:34:00,17.8089,20260119,10:00:00,17.2714,100,FORCE_1000,5.0,5.0,1.72714,-65.47714,-3.666359070267486
300285.SZ,国瓷材料,20260115,20260116,09:34:00,32.1261,20260119,10:00:00,32.4338,100,FORCE_1000,5.0,5.0,3.24338,17.52662,0.5447092717886879
300699.SZ,光威复材,20260115,20260116,09:34:00,40.6403,20260119,09:31:00,41.0883,100,SELLBACK,5.0,5.0,4.10883,30.69117,0.7542625638051329
300757.SZ,罗博特科,20260115,20260116,09:34:00,298.9494,20260119,10:00:00,316.8215,100,FORCE_1000,7.473735,7.920538,31.68215,1740.133577,5.8193749588957715
600879.SH,航天电子,20260115,20260116,09:34:00,25.8819,20260119,09:46:00,26.2296,100,SELLBACK,5.0,5.0,2.62296,22.14704,0.8540461747885808
688281.SH,华秦科技,20260115,20260116,09:34:00,66.1073,20260119,09:31:00,67.9936,100,SELLBACK,5.0,5.0,6.79936,171.83064,2.59730430353113
688387.SH,信科移动-U,20260115,20260116,09:34:00,18.4192,20260119,09:31:00,19.7204,100,SELLBACK,5.0,5.0,1.97204,118.14796,6.397026400710372
688375.SH,国博电子,20260115,20260116,09:35:00,139.1335,20260119,10:00:00,134.1269,100,FORCE_1000,5.0,5.0,13.41269,-524.07269,-3.765336336562883
000559.SZ,万向钱潮,20260116,20260119,10:00:00,18.9295,20260120,10:00:00,18.8906,100,FORCE_1000,5.0,5.0,1.88906,-15.77906,-0.8313738507336863
600637.SH,东方明珠,20260116,20260119,10:01:00,12.4662,20260120,10:00:00,11.8941,100,FORCE_1000,5.0,5.0,1.18941,-68.39941,-5.4648703280548405
000960.SZ,锡业股份,20260119,20260120,09:34:00,38.1891,20260121,10:00:00,37.7811,100,FORCE_1000,5.0,5.0,3.77811,-54.57811,-1.427285422512559
300142.SZ,沃森生物,20260119,20260120,09:34:00,12.2911,20260121,10:00:00,11.8891,100,FORCE_1000,5.0,5.0,1.18891,-51.38891,-4.164046154718784
002044.SZ,美年健康,20260119,20260120,09:36:00,7.2162,20260121,09:31:00,7.32,100,SELLBACK,5.0,5.0,0.732,-0.352,-0.048443478021524315
600498.SH,烽火通信,20260119,20260120,09:36:00,40.033,20260121,10:00:00,37.0645,100,FORCE_1000,5.0,5.0,3.70645,-310.55645,-7.747834493426139
601106.SH,中国一重,20260119,20260120,09:36:00,5.148,20260121,10:00:00,4.9675,100,FORCE_1000,5.0,5.0,0.49675,-28.54675,-5.491871873797615
000878.SZ,云南铜业,20260120,20260121,09:38:00,21.3707,20260122,09:31:00,22.0269,100,SELLBACK,5.0,5.0,2.20269,53.41731,2.4937238278861105
002044.SZ,美年健康,20260120,20260121,09:38:00,7.2246,20260122,09:31:00,7.6295,100,SELLBACK,5.0,5.0,0.76295,29.72705,4.086417122590933
002153.SZ,石基信息,20260120,20260121,09:38:00,14.5573,20260122,10:00:00,13.8431,100,FORCE_1000,5.0,5.0,1.38431,-82.80431,-5.668693735324118
300058.SZ,蓝色光标,20260120,20260121,09:38:00,17.2086,20260122,10:00:00,18.4808,100,FORCE_1000,5.0,5.0,1.84808,115.37192,6.684894487385999
300724.SZ,捷佳伟创,20260120,20260121,10:04:00,107.3136,20260122,10:00:00,105.7471,100,FORCE_1000,5.0,5.0,10.57471,-177.22471,-1.6506964185254591
301377.SZ,鼎泰高科,20260120,20260121,10:09:00,154.8274,20260122,10:00:00,161.909,100,FORCE_1000,5.0,5.0,16.1909,681.9691,4.403283500368679
600711.SH,盛屯矿业,20260120,20260121,10:28:00,16.7284,20260122,10:00:00,16.8416,100,FORCE_1000,5.0,5.0,1.68416,-0.36416,-0.021704095742144658
603000.SH,人民网,20260120,20260121,10:31:00,25.2852,20260122,09:54:00,25.6085,100,SELLBACK,5.0,5.0,2.56085,19.76915,0.7803036881492942
300136.SZ,信维通信,20260121,20260122,09:34:00,72.7964,20260123,09:31:00,83.7143,100,SELLBACK,5.0,5.0,8.37143,1073.41857,14.735368803400032
301200.SZ,大族数控,20260121,20260122,09:34:00,168.2241,20260123,10:00:00,173.0135,100,FORCE_1000,5.0,5.0,17.30135,451.63865,2.6839463114050233
300454.SZ,深信服,20260121,20260122,10:05:00,150.055,20260123,10:00:00,161.8091,100,FORCE_1000,5.0,5.0,16.18091,1149.22909,7.656167949102295
000878.SZ,云南铜业,20260121,20260122,10:09:00,21.8009,20260123,10:00:00,21.939,100,FORCE_1000,5.0,5.0,2.1939,1.6161,0.07396034030634895
000960.SZ,锡业股份,20260121,20260122,10:09:00,39.1596,20260123,10:00:00,39.4803,100,FORCE_1000,5.0,5.0,3.94803,18.12197,0.4621819656410676
300432.SZ,富临精工,20260121,20260122,10:09:00,19.4497,20260123,10:00:00,19.1104,100,FORCE_1000,5.0,5.0,1.91104,-45.84104,-2.3508587311599665
688122.SH,西部超导,20260121,20260122,10:23:00,91.1756,20260123,10:00:00,90.9545,100,FORCE_1000,5.0,5.0,9.09545,-41.20545,-0.4516873553037744
002517.SZ,恺英网络,20260121,20260122,10:24:00,25.4187,20260123,10:00:00,25.3673,100,FORCE_1000,5.0,5.0,2.53673,-17.67673,-0.6940570190076447
300136.SZ,信维通信,20260122,20260123,09:34:00,83.8419,20260126,10:00:00,91.4443,100,FORCE_1000,5.0,5.0,9.14443,741.09557,8.833934742209916
600595.SH,中孚实业,20260122,20260123,10:26:00,9.4697,20260126,09:31:00,9.9101,100,SELLBACK,5.0,5.0,0.99101,33.04899,3.471641963507254
688375.SH,国博电子,20260122,20260123,11:03:00,141.1145,20260126,10:00:00,140.3938,100,FORCE_1000,5.0,5.0,14.03938,-96.10938,-0.6808325039227285
688568.SH,中科星图,20260122,20260123,11:15:00,83.6798,20260126,10:00:00,82.7466,100,FORCE_1000,5.0,5.0,8.27466,-111.59466,-1.3327950144393037
688331.SH,荣昌生物,20260122,20260123,11:18:00,102.2511,20260126,10:00:00,100.2499,100,FORCE_1000,5.0,5.0,10.02499,-220.14499,-2.1519317974098033
688676.SH,金盘科技,20260122,20260123,11:18:00,98.8994,20260126,10:00:00,98.3008,100,FORCE_1000,5.0,5.0,9.83008,-79.69008,-0.8053619324624504
600562.SH,国睿科技,20260122,20260123,13:49:00,32.0799,20260126,10:00:00,30.8326,100,FORCE_1000,5.0,5.0,3.08326,-137.81326,-4.289252689862091
002131.SZ,利欧股份,20260123,20260126,09:35:00,8.2941,20260127,10:00:00,8.066,100,FORCE_1000,5.0,5.0,0.8066,-33.6166,-4.028786807444781
688172.SH,燕东微,20260123,20260126,09:35:00,36.7884,20260127,10:00:00,36.6617,100,FORCE_1000,5.0,5.0,3.66617,-26.33617,-0.7149107996004169
688676.SH,金盘科技,20260123,20260126,10:05:00,96.138,20260127,10:00:00,93.0734,100,FORCE_1000,5.0,5.0,9.30734,-325.76734,-3.386777352684326
300567.SZ,精测电子,20260126,20260127,09:34:00,140.7503,20260128,09:31:00,149.5754,100,SELLBACK,5.0,5.0,14.95754,857.55246,6.090558471821438
603092.SH,德力佳,20260126,20260127,09:34:00,71.965,20260128,10:00:00,71.0335,100,FORCE_1000,5.0,5.0,7.10335,-110.25335,-1.5309775741165035
688200.SH,华峰测控,20260126,20260127,09:34:00,172.5389,20260128,10:00:00,184.9683,100,FORCE_1000,5.0,5.0,18.49683,1214.44317,7.036623850085377
688387.SH,信科移动-U,20260126,20260127,09:34:00,18.5793,20260128,10:00:00,17.3113,100,FORCE_1000,5.0,5.0,1.73113,-138.53113,-7.436196207050183
688234.SH,天岳先进,20260126,20260127,09:35:00,98.049,20260128,10:00:00,96.7016,100,FORCE_1000,5.0,5.0,9.67016,-154.41016,-1.5740237922914604
301611.SZ,珂玛科技,20260126,20260127,10:03:00,127.6438,20260128,09:31:00,130.7037,100,SELLBACK,5.0,5.0,13.07037,282.91963,2.2156097633557774
000559.SZ,万向钱潮,20260126,20260127,10:10:00,18.1291,20260128,10:00:00,17.7411,100,FORCE_1000,5.0,5.0,1.77411,-50.57411,-2.7819919577976906
000738.SZ,航发控制,20260126,20260127,10:10:00,24.8354,20260128,10:00:00,26.2399,100,FORCE_1000,5.0,5.0,2.62399,127.82601,5.136586512573638
000830.SZ,鲁西化工,20260127,20260128,09:34:00,19.0795,20260129,09:31:00,20.3095,100,SELLBACK,5.0,5.0,2.03095,110.96905,5.800938341305313
301526.SZ,国际复材,20260127,20260128,09:34:00,8.054,20260129,09:31:00,9.346,100,SELLBACK,5.0,5.0,0.9346,118.2654,14.593460019743338
300037.SZ,新宙邦,20260127,20260128,10:04:00,52.4662,20260129,10:00:00,52.1439,100,FORCE_1000,5.0,5.0,5.21439,-47.44439,-0.9034238958645142
300604.SZ,长川科技,20260127,20260128,10:04:00,131.6558,20260129,09:31:00,134.6977,100,SELLBACK,5.0,5.0,13.46977,280.72023,2.1314188896768402
301358.SZ,湖南裕能,20260127,20260128,10:06:00,62.7354,20260129,10:00:00,63.8121,100,FORCE_1000,5.0,5.0,6.38121,91.28879,1.4539811803381042
000400.SZ,许继电气,20260127,20260128,10:07:00,30.5456,20260129,10:00:00,30.6137,100,FORCE_1000,5.0,5.0,3.06137,-6.25137,-0.20432251696322346
688322.SH,奥比中光-W,20260127,20260128,10:08:00,98.3491,20260129,10:00:00,97.1114,100,FORCE_1000,5.0,5.0,9.71114,-143.48114,-1.4581550034502349
688819.SH,天能股份,20260127,20260128,10:10:00,34.3071,20260129,10:00:00,34.6827,100,FORCE_1000,5.0,5.0,3.46827,24.09173,0.7012154692916457
002266.SZ,浙富控股,20260128,20260129,09:34:00,5.4827,20260130,10:00:00,4.7876,100,FORCE_1000,5.0,5.0,0.47876,-79.98876,-14.457454768919334
002271.SZ,东方雨虹,20260128,20260129,09:34:00,16.8284,20260130,10:00:00,17.8711,100,FORCE_1000,5.0,5.0,1.78711,92.48289,5.47936356526685
300604.SZ,长川科技,20260128,20260129,09:34:00,133.5567,20260130,10:00:00,124.5377,100,FORCE_1000,5.0,5.0,12.45377,-924.35377,-6.918468684579442
603179.SH,新泉股份,20260128,20260129,10:01:00,63.6865,20260130,10:00:00,60.5768,100,FORCE_1000,5.0,5.0,6.05768,-327.02768,-5.1309325111984485
300285.SZ,国瓷材料,20260128,20260129,10:09:00,31.0755,20260130,10:00:00,30.4448,100,FORCE_1000,5.0,5.0,3.04448,-76.11448,-2.445405856934025
603659.SH,璞泰来,20260128,20260129,10:09:00,27.9074,20260130,10:00:00,27.8061,100,FORCE_1000,5.0,5.0,2.78061,-22.91061,-0.8194828560595764
688778.SH,厦钨新能,20260128,20260129,10:09:00,91.1956,20260130,10:00:00,85.1174,100,FORCE_1000,5.0,5.0,8.51174,-626.33174,-6.864240467485555
601106.SH,中国一重,20260128,20260129,10:10:00,5.3988,20260130,10:00:00,5.0975,100,FORCE_1000,5.0,5.0,0.50975,-40.63975,-7.45847709587432
002008.SZ,大族激光,20260129,20260130,13:16:00,48.2641,20260202,10:00:00,47.1964,100,FORCE_1000,5.0,5.0,4.71964,-121.48964,-2.514579387797765
002414.SZ,高德红外,20260129,20260130,13:16:00,16.8584,20260202,10:00:00,16.4618,100,FORCE_1000,5.0,5.0,1.64618,-51.30618,-3.0343604362328787
