date,S1_MA_Cross,S2_Bollinger,S3_Vol_Break,S4_TrendTrail,S5_MACD,S6_Composite,S7_FundFlow,Buy_Hold
2025-11-26,1000000.0,1067305.7235772358,1938317.0644502228,2083547.2876866437,1787048.6518007137,999715.0,1000000.0,2238252.0516439285
2025-11-27,1000000.0,1087024.6341463414,1974919.193443536,2083547.2876866437,1819955.3944350285,1018123.7680990191,1000000.0,2281637.1334483298
2025-11-28,999714.9999999999,1084100.9611674796,1970068.3088781573,2083547.2876866437,1815594.259869035,1015684.0518449323,1000000.0,2275887.3033296745
2025-12-01,983246.5841754706,1084100.9611674796,1936773.60117942,2083547.2876866437,1785661.0180751702,998938.7266464268,1000000.0,2236422.5602425383
2025-12-02,956417.2444878272,1084100.9611674796,1882531.8919483654,2083547.2876866437,1736895.6042917878,971658.2630780009,1000000.0,2172129.0052793897
2025-12-03,955435.6832797426,1084100.9611674796,1880547.4391716192,2083547.2876866437,1735111.5037875178,970660.1973376926,1000000.0,2169776.8020490305
2025-12-04,951291.313734497,1084100.9611674796,1872168.6385586923,2083547.2876866437,1727578.6349917108,966446.1419897244,1000000.0,2159845.277298625
2025-12-05,962088.4870234266,1084100.9611674796,1893997.6191028971,2083547.2876866437,1747203.7405386816,977424.8651331153,1000000.0,2185719.5128325755
2025-12-08,1013129.6698438218,1084100.9611674796,1997189.1634936847,2083547.2876866437,1839976.9667607264,1029324.2836291452,1000000.0,2308034.0808112486
2025-12-09,1025889.9655489206,1084100.9611674796,2022987.0495913818,2083547.2876866437,1863170.2733162376,1042299.1382531527,1000000.0,2338612.7228059173
2025-12-10,1123500.7745751033,1084100.9611674796,2220329.8535011145,2083547.2876866437,2040589.1567964295,1141551.2313171416,1000000.0,2572526.266269406
2025-12-11,1154474.4838079924,1084100.9611674796,2282950.3633450964,2083547.2876866437,2096887.4393756187,1173045.7502335357,1000000.0,2646751.3459829595
2025-12-12,1203007.2324299493,1084100.9611674796,2381070.5284175333,2083547.2876866437,2185101.2976423064,1222394.5562821112,1000000.0,2763054.727928493
2025-12-15,1087728.3216582453,1084100.9611674796,2148007.574526374,2083547.2876866437,1975568.605085253,1105177.2798925736,1000000.0,2486801.5263185403
2025-12-16,1023926.8431327514,1084100.9611674796,2019018.1440378898,2083547.2876866437,1859602.0723076973,1040303.0067725361,1000000.0,2333908.316345199
2025-12-17,1121319.5274460267,1084100.9611674796,2215919.958441679,2083547.2876866437,2036624.4890091626,1139333.30744979,1000000.0,2567299.1479797186
2025-12-18,1228418.761483693,1084100.9611674796,2432445.805859955,2083547.2876866437,2231289.677363965,1248233.3693367585,1000000.0,2823950.6560033453
2025-12-19,1309670.2170418005,1084100.9611674796,2596714.3968239226,2082953.4767096534,2378973.552439656,1330851.0333956096,1000000.0,3018660.8122941824
2025-12-22,1435637.2387459807,1084100.9611674796,2851385.8365063146,2280831.0879421853,2607933.117154317,1458936.1367351704,1000000.0,3320526.8935236004
2025-12-23,1424949.1278135045,1084100.9611674796,2829777.350715081,2264041.4724436672,2588506.2449967093,1448068.309785147,1000000.0,3294914.0139041347
2025-12-24,1473263.751722554,1084100.9611674796,2927456.5262815747,2339937.3874012535,2676323.6364846705,1497195.3234469874,1000000.0,3410694.6840206995
2025-12-25,1413279.4556729444,1084100.9611674796,2806184.4121471024,2245709.953481,2567295.2723348318,1436202.4170948155,1000000.0,3266948.93105431
2025-12-26,1379033.87574644,1084100.9611674796,2736949.059713967,2191914.6548428917,2505049.9880747423,1401381.0123773937,1000000.0,3184883.1739062252
2025-12-29,1366927.9541800641,1084100.9611674796,2712474.1421341007,2172897.8454517135,2483046.081855411,1389071.5349135918,1000000.0,3155872.667398463
2025-12-30,1351113.912494258,1084100.9611674796,2680502.4029531945,2148056.067418192,2454302.240397726,1372991.5868752918,1000000.0,3117976.059798233
2025-12-31,1319049.5796968304,1084100.9611674796,2615676.9455794943,2097089.167965677,2396021.6239249036,1340388.1060252218,1000000.0,3041137.4209398357
2026-01-05,1306289.2839917317,1084100.9611674796,2589879.0594817977,2097089.167965677,2372143.282245769,1327413.2514012144,1000000.0,3010558.7789451675
2026-01-06,1292438.3647220945,1084100.9611674796,2561876.2258543833,2097089.167965677,2372143.282245769,1313329.434843531,1000000.0,2977366.5778056555
2026-01-07,1334318.3096003674,1084100.9611674796,2646546.2109955424,2097089.167965677,2372143.282245769,1355913.5730966837,1000000.0,3077727.2489676443
2026-01-08,1267463.0850941662,1084100.9611674796,2511382.927423848,2097089.167965677,2372143.282245769,1287934.206562354,1000000.0,2917516.073388741
2026-01-09,1271825.5793523197,1084100.9611674796,2520202.717542719,2097089.167965677,2372143.282245769,1292370.0542970574,1000000.0,2927970.3099681144
2026-01-12,1254559.4378277445,1084100.9611674796,2486026.030832095,2097089.167965677,2372143.282245769,1275181.1443250817,1000000.0,2887460.143223041
2026-01-13,1254559.4378277445,1084100.9611674796,2413703.751857355,2097089.167965677,2372143.282245769,1238807.1929005138,1000000.0,2801735.403272176
2026-01-14,1254559.4378277445,1084100.9611674796,2413703.751857355,2097089.167965677,2372143.282245769,1238807.1929005138,1000000.0,2801735.403272176
2026-01-15,1254559.4378277445,1084100.9611674796,2439501.637955052,2097089.167965677,2372143.282245769,1251782.0475245214,1000000.0,2832314.0452668443
2026-01-16,1254559.4378277445,1084100.9611674796,2572459.973997028,2097089.167965677,2372143.282245769,1318652.4521251752,1000000.0,2989911.6617009044
2026-01-19,1254559.4378277445,1084100.9611674796,2648089.6742663444,2097089.167965677,2372143.282245769,1356689.8464502569,999715.0,3079556.7403690345
2026-01-20,1254559.4378277445,1084100.9611674796,2660657.8751857355,2097089.167965677,2372143.282245769,1363010.9294722092,1004309.2251548843,3094454.027494642
2026-01-21,1254559.4378277445,1084100.9611674796,2567388.594678677,2097089.167965677,2372143.282245769,1316101.8396777206,970215.2384791649,2983900.4756677644
2026-01-22,1254559.4378277445,1084100.9611674796,2478308.714478083,2097089.167965677,2372143.282245769,1271299.7775572161,937652.660188407,2878312.686216089
2026-01-23,1254559.4378277445,1084100.9611674796,2532329.928956166,2097089.167965677,2372143.282245769,1298469.3449322747,957399.7683102775,2942344.8852647534
2026-01-26,1254201.8883879636,1084100.9611674796,2780607.0208023773,2097089.167965677,2372143.282245769,1423338.4586641756,1048155.8652295681,3236631.6449741255
2026-01-27,1280756.0551315888,1084100.9611674796,2841463.572622585,2096491.497552807,2371467.2214103295,1453945.808033629,1070401.587032165,3308765.877371805
2026-01-28,1364459.4068234512,1084100.9611674796,3033294.007708024,2233357.550006554,2526284.618712802,1550425.4962634284,1140523.9709751338,3536145.522973185
2026-01-29,1366960.8862992998,1084100.9611674796,3039026.8712852895,2237447.799849999,2530911.3455287376,1553308.7972909855,1142619.5824492914,3542940.7767497776
2026-01-30,1497422.6620397195,1084100.9611674796,3338017.7563150073,2450770.0609158394,2772212.9440829353,1703684.0354974312,1251913.7808707461,3897339.396790549
2026-02-02,1592382.6713729012,1084100.9611674796,3555646.0774981426,2606042.2376650902,2947850.612057119,1813138.5783512378,1331466.4164474243,4155297.6843865975
2026-02-03,1652321.9680442002,1084100.9611674796,3693014.308599554,2704050.9166061063,3058714.1046081996,1882226.9068192432,1381680.491385895,4318122.419110345
2026-02-04,1732080.6790241469,1084100.9611674796,3875804.4588131495,2834466.959691343,3206235.5096240034,1974159.8511209714,1448498.2572349994,4534786.472217866
2026-02-05,1619033.0488655975,1084100.9611674796,3616723.124071322,2649619.1302279495,2997143.0477499748,1843856.8239140587,1353792.7386913348,4227693.272698761
2026-02-06,1744203.2334071065,1084100.9611674796,3903586.7976875925,2854288.939701886,3228657.3395781545,1988132.7714852872,1458653.912840533,4567717.317442894
2026-02-09,1912379.6227833997,1084100.9611674796,4289011.625882243,3129279.583022747,3539715.7424341557,2181979.317491826,1599543.4842569805,5024567.455961528
2026-02-10,2097392.893247136,1084100.9611674796,4713023.035846953,3431800.754136029,3881915.575782033,2395232.6973376926,1754538.1329033354,5527154.879514923
2026-02-11,2162623.781117346,1084100.9611674796,4862518.478361812,3538461.884668949,4002566.3750591325,2470420.316440915,1809185.2321140626,5704354.18953531
2026-02-12,2246711.9758054926,1084100.9611674796,5055230.892459137,3675957.20632938,4158095.576487133,2567343.5894441847,1879630.0178222863,5932779.258794626
2026-02-13,2115769.146319717,1084100.9611674796,4755137.533664561,3461848.358755185,3915904.222776024,2416413.8702709014,1769932.8171942628,5577073.859181433
