date,version,slip,failure,bars,orders,turnover,initial_equity,final_equity,account_gross,hold_gross,excess_gross,final_position,position_gap,short_unclosed,long_unclosed,mom_unclosed,state,cycles,strategy_reported_gross,max_drawdown
20260615,v51,0.0,,241,4,171219.0,188000.0,191279.0,3279.0,2060.0000000000023,1219.0,200,0,0,0,0,DONE,2,1218.9999999999998,0.025311753780843715
20260615,v51,0.01,,241,4,171219.0,188000.0,191275.0,3275.0,2060.0000000000023,1215.0,200,0,0,0,0,DONE,2,1215.0000000000034,0.0253223666755108
20260615,v39,0.0,,241,4,171219.0,188000.0,191279.0,3279.0,2060.0000000000023,1219.0,200,0,0,0,0,IDLE,2,1218.9999999999998,0.025311753780843715
20260615,v39,0.01,,241,4,171219.0,188000.0,191275.0,3275.0,2060.0000000000023,1215.0,200,0,0,0,0,IDLE,2,1218.9999999999998,0.0253223666755108
20260616,v51,0.0,,241,4,185982.0,190062.0,193518.0,3456.0,2758.000000000004,698.0,200,0,0,0,0,DONE,2,697.9999999999961,0.0061094555018554875
20260616,v51,0.01,,241,4,185980.0,190062.0,193516.0,3454.0,2758.000000000004,696.0,200,0,0,0,0,DONE,2,695.999999999998,0.006109518392892976
20260616,v39,0.0,,241,4,185667.0,190062.0,193945.0,3883.0,2758.000000000004,1125.0,200,0,0,0,0,IDLE,2,1125.0,0.012144154282937358
20260616,v39,0.01,,241,4,185665.0,190062.0,193943.0,3881.0,2758.000000000004,1123.0,200,0,0,0,0,IDLE,2,1125.0,0.01214427853061395
20260617,v51,0.0,,241,4,183732.0,190402.0,191742.0,1340.0,1698.0000000000018,-358.0,200,0,0,0,0,DONE,2,-357.9999999999984,0.007155103678650909
20260617,v51,0.01,,241,4,183730.0,190402.0,191740.0,1338.0,1698.0000000000018,-360.0,200,0,0,0,0,DONE,2,-359.9999999999966,0.007160352285163429
20260617,v39,0.0,,241,4,182625.0,190402.0,191535.0,1133.0,1698.0000000000018,-565.0,200,0,0,0,0,IDLE,2,-564.9999999999977,0.02335034294686389
20260617,v39,0.01,,241,4,182624.0,190402.0,191532.0,1130.0,1698.0000000000018,-568.0,200,0,0,0,0,IDLE,2,-564.9999999999977,0.02336079332696328
20260618,v51,0.0,,241,4,186917.0,191000.0,194793.0,3793.0,3310.0000000000023,483.0,200,0,0,0,0,IDLE,2,483.0000000000041,0.0068957709368985265
20260618,v51,0.01,,241,4,186915.0,191000.0,194791.0,3791.0,3310.0000000000023,481.0,200,0,0,0,0,IDLE,2,481.0000000000059,0.00689580642339227
20260618,v39,0.0,,241,4,186295.0,191000.0,194171.0,3171.0,3310.0000000000023,-139.0,200,0,0,0,0,IDLE,2,342.0000000000016,0.006218389851587736
20260618,v39,0.01,,241,4,186293.0,191000.0,194169.0,3169.0,3310.0000000000023,-141.0,200,0,0,0,0,IDLE,2,342.0000000000016,0.006223571843130715
20260622,v51,0.0,,241,1,50383.0,198956.0,202254.0,3298.0,4786.000000000013,-1488.0,100,-100,100,0,0,SPIKING,0,0.0,0.008406266669300777
20260622,v51,0.01,,241,1,50382.0,198956.0,202253.0,3297.0,4786.000000000013,-1489.0,100,-100,100,0,0,SPIKING,0,0.0,0.008411205721397974
20260622,v39,0.0,,241,1,50383.0,198956.0,202254.0,3298.0,4786.000000000013,-1488.0,100,-100,100,0,0,SPIKING,0,0.0,0.008406266669300777
20260622,v39,0.01,,241,1,50382.0,198956.0,202253.0,3297.0,4786.000000000013,-1489.0,100,-100,100,0,0,SPIKING,0,0.0,0.008411205721397974
20260623,v51,0.0,,241,4,222124.0,211000.0,215652.0,4652.0,3116.000000000008,1536.0,200,0,0,0,0,IDLE,2,1536.0000000000014,0.027997305270982875
20260623,v51,0.01,,241,4,222124.0,211000.0,215648.0,4648.0,3116.000000000008,1532.0,200,0,0,0,0,IDLE,2,1532.000000000005,0.028006727561630584
20260623,v39,0.0,,241,4,222124.0,211000.0,215652.0,4652.0,3116.000000000008,1536.0,200,0,0,0,0,IDLE,2,1536.0000000000014,0.027997305270982875
