date,open,close,high,low,vol
2024-02-05,21.798,21.738,22.618,19.828,31338.0
2024-02-06,21.738,22.768,22.918,20.878,34827.0
2024-02-07,22.768,23.928,23.938,22.698,39009.0
2024-02-08,24.198,24.548,25.168,23.948,34626.0
2024-02-19,24.778,25.398,25.478,24.598,36528.0
2024-02-20,25.048,24.908,25.088,24.678,23821.0
2024-02-21,24.628,25.238,25.588,24.628,36351.0
2024-02-22,25.118,25.798,25.838,25.118,25259.0
2024-02-23,25.828,26.148,26.358,25.718,27614.0
2024-02-26,26.018,26.048,26.338,25.868,27183.0
2024-02-27,25.908,27.038,27.068,25.748,37521.0
2024-02-28,27.008,25.888,27.468,25.888,39444.0
2024-02-29,25.668,26.798,26.868,25.638,27048.0
2024-03-01,26.868,27.398,27.398,26.708,36144.0
2024-03-04,27.508,27.258,27.578,26.868,29310.0
2024-03-05,27.048,27.138,27.498,26.918,27136.0
2024-03-06,27.018,27.188,27.488,26.748,23068.0
2024-03-07,27.128,26.788,27.368,26.748,19810.0
2024-03-08,26.968,27.688,27.688,26.758,29740.0
2024-03-11,27.958,28.078,28.258,27.478,46507.0
2024-03-12,27.978,27.298,28.078,27.198,37922.0
2024-03-13,27.308,27.498,27.908,27.248,31725.0
2024-03-14,27.318,27.258,27.598,27.008,22777.0
2024-03-15,27.208,27.818,27.858,26.778,29546.0
2024-03-18,27.888,28.138,28.148,27.708,28354.0
2024-03-19,28.148,28.978,29.638,27.838,61016.0
2024-03-20,29.598,29.078,30.458,28.978,91420.0
2024-03-21,28.958,31.118,31.568,28.818,143478.0
2024-03-22,30.878,32.388,32.708,30.538,132827.0
2024-03-25,31.618,29.408,31.688,29.408,100118.0
2024-03-26,28.708,28.358,29.908,28.218,70244.0
2024-03-27,28.118,25.808,28.298,25.718,84057.0
2024-03-28,25.808,27.698,27.988,25.808,71034.0
2024-03-29,27.528,28.638,28.738,27.198,56058.0
2024-04-01,28.388,29.108,29.268,28.388,50409.0
2024-04-02,28.848,28.238,28.998,28.038,39882.0
2024-04-03,28.018,27.108,28.098,26.968,44708.0
2024-04-08,26.978,26.268,27.008,26.238,39335.0
2024-04-09,26.408,26.408,26.578,26.038,32089.0
2024-04-10,26.398,25.848,26.398,25.718,28558.0
2024-04-11,25.938,25.968,26.308,25.668,30088.0
2024-04-12,26.008,26.598,27.188,25.958,40226.0
2024-04-15,26.608,26.538,27.018,25.888,40921.0
2024-04-16,26.348,25.548,26.648,25.468,42290.0
2024-04-17,25.778,26.858,26.868,25.778,35539.0
2024-04-18,26.818,26.638,27.188,26.288,33637.0
2024-04-19,26.548,26.278,26.898,26.028,25714.0
2024-04-22,25.898,26.438,26.588,25.368,24893.0
2024-04-23,26.238,26.088,26.718,26.038,23211.0
2024-04-24,26.078,26.908,26.908,26.018,34688.0
2024-04-25,26.698,26.428,26.768,26.328,30887.0
2024-04-26,26.328,27.378,27.518,26.328,44022.0
2024-04-29,27.268,27.778,27.928,27.268,41909.0
2024-04-30,26.708,25.518,26.708,25.378,84139.0
2024-05-06,25.988,26.108,26.408,25.838,50889.0
2024-05-07,26.098,25.788,26.148,25.598,28916.0
2024-05-08,25.598,24.978,25.798,24.908,36900.0
2024-05-09,24.998,25.418,25.508,24.858,26489.0
2024-05-10,25.418,25.118,25.488,24.858,21612.0
2024-05-13,24.918,27.048,27.618,24.618,92422.0
2024-05-14,26.968,26.368,27.148,25.888,57392.0
2024-05-15,26.178,25.918,26.508,25.878,28666.0
2024-05-16,25.998,26.098,26.748,25.888,36089.0
2024-05-17,26.098,26.148,26.178,25.608,24502.0
2024-05-20,26.148,25.948,26.238,25.738,23105.0
2024-05-21,25.928,25.268,25.928,25.198,31612.0
2024-05-22,25.288,25.378,25.428,25.018,17918.0
2024-05-23,25.508,24.848,25.508,24.728,24656.0
2024-05-24,24.758,24.668,25.298,24.628,26366.0
2024-05-27,24.668,24.468,24.988,24.018,20313.0
2024-05-28,24.488,24.318,24.718,24.268,14062.0
2024-05-29,24.168,24.268,24.568,24.168,10314.0
2024-05-30,24.108,24.278,24.458,23.988,12263.0
2024-05-31,24.388,24.508,24.818,24.288,15332.0
2024-06-03,24.318,24.398,24.618,24.198,14980.0
2024-06-04,24.218,24.348,24.368,23.988,11961.0
2024-06-05,24.318,24.158,24.548,24.128,13825.0
2024-06-06,24.018,23.418,24.298,23.418,21595.0
2024-06-07,23.818,23.458,23.858,23.218,12627.0
2024-06-11,23.458,23.638,23.718,22.988,13769.0
2024-06-12,23.608,23.758,24.018,23.518,12863.0
2024-06-13,23.768,23.758,23.918,23.568,11514.0
2024-06-14,23.648,24.058,24.058,23.478,21251.0
2024-06-17,23.898,24.238,24.318,23.818,13757.0
2024-06-18,24.138,24.698,24.818,24.138,18950.0
2024-06-19,24.818,24.488,24.968,24.338,14367.0
2024-06-20,24.478,23.848,24.588,23.818,14681.0
2024-06-21,23.768,23.798,24.038,23.518,8822.0
2024-06-24,23.718,23.378,24.508,23.248,25289.0
2024-06-25,23.198,22.628,23.698,22.408,21754.0
2024-06-26,22.458,23.648,23.668,22.448,18357.0
2024-06-27,23.648,23.038,23.908,23.028,12759.0
2024-06-28,23.218,23.548,24.068,22.948,21312.0
2024-07-01,23.378,23.128,23.768,22.768,19941.0
2024-07-02,23.238,22.778,23.238,22.718,15552.0
2024-07-03,22.778,22.548,22.878,22.448,12225.0
2024-07-04,22.658,22.158,22.928,21.998,18670.0
2024-07-05,21.998,22.448,22.518,21.978,13431.0
2024-07-08,22.458,21.968,22.598,21.878,12799.0
2024-07-09,21.968,23.228,23.398,21.798,31062.0
2024-07-10,23.078,22.838,23.368,22.768,16289.0
2024-07-11,23.228,23.198,23.468,22.958,20662.0
2024-07-12,23.198,22.948,23.218,22.828,15640.0
2024-07-15,22.928,22.718,23.028,22.618,10925.0
2024-07-16,22.598,22.818,22.948,22.498,9076.0
2024-07-17,22.848,22.448,22.848,22.418,11113.0
2024-07-18,22.418,22.328,22.458,21.918,13267.0
2024-07-19,22.218,22.398,22.568,22.168,9070.0
2024-07-22,22.458,22.368,22.558,22.218,9896.0
2024-07-23,22.378,21.898,22.498,21.888,11726.0
2024-07-24,21.898,21.708,22.148,21.708,9472.0
2024-07-25,21.428,21.798,22.088,21.428,8622.0
2024-07-26,21.638,22.178,22.318,21.638,10159.0
2024-07-29,22.188,22.208,22.348,22.038,5681.0
2024-07-30,22.208,22.328,22.408,21.998,8233.0
2024-07-31,22.328,23.038,23.348,22.318,22718.0
2024-08-01,23.058,23.028,23.178,22.938,15027.0
2024-08-02,22.908,22.448,23.098,22.368,12419.0
2024-08-05,22.238,21.748,22.518,21.688,16146.0
2024-08-06,21.978,21.848,22.148,21.518,10148.0
2024-08-07,24.108,24.108,24.108,24.108,31544.0
2024-08-08,26.238,23.958,26.268,23.918,135176.0
2024-08-09,23.238,24.218,25.178,22.768,103453.0
2024-08-12,23.318,23.708,24.218,23.018,54591.0
2024-08-13,23.458,23.178,23.738,22.938,40246.0
