code,date,direction,shares,price,commission,stamp_tax,pnl
601857.SH,2021-05-20,sell,632500,4.655,736.13,2944.5,-3244.2
000858.SZ,2021-05-20,buy,1600,303.814,121.53,0.0,0.0
300014.SZ,2021-06-08,sell,14000,97.632,341.71,1366.85,11671.1
000858.SZ,2021-06-08,sell,1600,297.652,119.06,476.24,-10453.64
002594.SZ,2021-06-08,buy,8600,203.013,436.48,0.0,0.0
002475.SZ,2021-06-08,buy,43300,40.29,436.14,0.0,0.0
002142.SZ,2021-06-10,sell,64200,41.069,659.16,2636.62,-95973.61
002304.SZ,2021-06-10,buy,5300,234.985,311.35,0.0,0.0
600036.SH,2021-06-15,sell,47400,54.745,648.73,2594.92,-16979.23
002304.SZ,2021-06-15,sell,5300,203.796,270.03,1080.12,-166650.52
600028.SH,2021-06-15,buy,550800,4.685,645.08,0.0,0.0
300750.SZ,2021-06-15,buy,3300,445.445,367.49,0.0,0.0
600028.SH,2021-06-16,sell,550800,4.695,646.54,2586.17,2616.78
300750.SZ,2021-06-16,sell,3300,419.76,346.3,1385.21,-86492.6
002475.SZ,2021-06-16,sell,43300,37.832,409.53,1638.13,-108484.26
600837.SH,2021-06-17,sell,252900,11.568,731.41,2925.65,-22171.88
002049.SZ,2021-06-18,sell,12500,141.868,443.34,1773.35,168907.56
002594.SZ,2021-06-21,sell,8600,242.337,521.03,2084.1,335586.52
603986.SH,2021-06-23,buy,9300,173.323,402.98,0.0,0.0
601857.SH,2021-06-23,buy,427200,5.385,575.16,0.0,0.0
600900.SH,2021-06-23,buy,145100,20.29,736.03,0.0,0.0
300274.SZ,2021-06-23,buy,13100,102.602,336.02,0.0,0.0
600104.SH,2021-06-23,buy,111900,22.072,617.47,0.0,0.0
688981.SH,2021-06-23,buy,45200,58.599,662.16,0.0,0.0
601857.SH,2021-07-02,sell,427200,5.225,558.01,2232.02,-71402.62
600104.SH,2021-07-02,sell,111900,21.019,588.01,2352.02,-120780.8
600900.SH,2021-07-02,sell,145100,20.28,735.65,2942.58,-5211.94
688981.SH,2021-07-05,sell,45200,58.312,658.92,2635.69,-16262.94
603986.SH,2021-07-06,sell,9300,178.621,415.29,1661.18,47195.39
300274.SZ,2021-07-07,sell,13100,114.785,375.92,1503.68,157712.45
600111.SH,2021-09-07,buy,15000,57.377,215.16,0.0,0.0
601088.SH,2021-09-07,buy,105400,21.301,561.29,0.0,0.0
003816.SZ,2021-09-07,buy,1038700,2.833,735.62,0.0,0.0
600837.SH,2021-09-07,buy,144000,13.824,497.66,0.0,0.0
600028.SH,2021-09-07,buy,656100,4.484,735.57,0.0,0.0
600025.SH,2021-09-07,buy,370000,6.306,583.33,0.0,0.0
600837.SH,2021-09-09,sell,144000,12.507,450.27,1801.08,-191802.87
002555.SZ,2021-09-09,buy,58700,22.332,327.73,0.0,0.0
002555.SZ,2021-09-14,sell,58700,21.129,310.07,1240.26,-72193.43
600028.SH,2021-09-14,sell,656100,4.645,761.95,3047.81,101737.04
600111.SH,2021-09-14,sell,15000,57.413,215.3,861.19,-548.33
003816.SZ,2021-09-15,sell,1038700,2.997,778.25,3112.98,166632.15
600025.SH,2021-09-16,sell,370000,6.653,615.43,2461.74,125327.63
601088.SH,2021-09-17,sell,105400,21.598,569.12,2276.47,28468.75
002714.SZ,2021-10-08,buy,27600,54.755,377.81,0.0,0.0
000568.SZ,2021-10-08,buy,6400,225.555,360.89,0.0,0.0
601857.SH,2021-10-08,buy,186300,6.286,292.78,0.0,0.0
600276.SH,2021-10-08,buy,40600,54.244,550.58,0.0,0.0
300498.SZ,2021-10-08,buy,129100,15.345,495.27,0.0,0.0
600809.SH,2021-10-08,buy,4100,325.325,333.46,0.0,0.0
000568.SZ,2021-10-12,sell,6400,224.925,359.88,1439.52,-5834.47
601857.SH,2021-10-12,sell,186300,5.994,279.17,1116.68,-55847.62
600276.SH,2021-10-12,sell,40600,53.746,545.52,2182.1,-22946.01
600519.SH,2021-10-13,buy,1000,1931.83,482.96,0.0,0.0
000858.SZ,2021-10-13,buy,7000,239.729,419.53,0.0,0.0
300760.SZ,2021-10-13,buy,3500,395.415,345.99,0.0,0.0
300498.SZ,2021-10-18,sell,129100,15.125,488.15,1952.62,-30903.45
600519.SH,2021-10-18,sell,1000,1798.2,449.55,1798.2,-135877.65
300760.SZ,2021-10-18,sell,3500,369.63,323.43,1293.7,-91864.7
300014.SZ,2021-10-19,buy,15200,113.413,430.97,0.0,0.0
300750.SZ,2021-10-19,buy,3000,591.191,443.39,0.0,0.0
300274.SZ,2021-10-19,buy,7400,160.66,297.22,0.0,0.0
600809.SH,2021-10-27,sell,4100,310.09,317.84,1271.37,-64054.35
000858.SZ,2021-10-27,sell,7000,215.784,377.62,1510.49,-169506.54
300014.SZ,2021-10-27,sell,15200,116.383,442.26,1769.03,42935.75
300750.SZ,2021-10-28,sell,3000,606.593,454.94,1819.78,43931.88
002594.SZ,2021-10-29,buy,5200,311.621,405.11,0.0,0.0
601012.SH,2021-10-29,buy,17900,97.788,437.6,0.0,0.0
000963.SZ,2021-10-29,buy,46900,36.677,430.03,0.0,0.0
600887.SH,2021-10-29,buy,49000,43.043,527.28,0.0,0.0
002594.SZ,2021-11-01,sell,5200,301.698,392.21,1568.83,-53562.25
601012.SH,2021-11-01,sell,17900,100.1,447.95,1791.79,39147.04
000963.SZ,2021-11-01,sell,46900,36.533,428.35,1713.42,-8858.32
600887.SH,2021-11-02,sell,49000,42.937,525.98,2103.91,-7822.91
300274.SZ,2021-11-03,sell,7400,152.927,282.91,1131.66,-58643.07
002714.SZ,2021-11-03,sell,27600,59.391,409.79,1639.18,125900.49
300418.SZ,2021-11-11,buy,53000,23.654,313.41,0.0,0.0
600837.SH,2021-11-11,buy,227300,12.673,720.12,0.0,0.0
002555.SZ,2021-11-11,buy,56400,25.375,357.79,0.0,0.0
300124.SZ,2021-11-11,buy,28400,69.75,495.22,0.0,0.0
600016.SH,2021-11-11,buy,734200,3.924,720.24,0.0,0.0
601328.SH,2021-11-11,buy,617600,4.665,720.22,0.0,0.0
300418.SZ,2021-11-12,sell,53000,23.536,311.86,1247.43,-7770.36
600837.SH,2021-11-12,sell,227300,12.617,716.98,2867.93,-16152.33
002555.SZ,2021-11-12,sell,56400,25.834,364.26,1457.05,24054.45
600016.SH,2021-11-15,sell,734200,3.926,720.63,2882.52,-2024.62
601328.SH,2021-11-16,sell,617600,4.645,717.24,2868.97,-15512.07
300124.SZ,2021-11-17,sell,28400,67.013,475.79,1903.17,-80102.94
300413.SZ,2021-11-22,buy,26000,47.237,307.04,0.0,0.0
002475.SZ,2021-11-22,buy,43400,42.803,464.41,0.0,0.0
601288.SH,2021-11-22,buy,972100,2.943,715.21,0.0,0.0
600690.SH,2021-11-22,buy,80600,28.048,565.17,0.0,0.0
600519.SH,2021-11-22,buy,1500,1856.124,696.05,0.0,0.0
002049.SZ,2021-11-22,buy,7300,218.158,398.14,0.0,0.0
002475.SZ,2021-11-26,sell,43400,40.08,434.87,1739.47,-120347.33
601288.SH,2021-11-26,sell,972100,2.917,708.92,2835.69,-28683.12
600690.SH,2021-11-26,sell,80600,27.562,555.38,2221.53,-41917.08
002049.SZ,2021-11-29,sell,7300,209.69,382.68,1530.74,-63728.65
300413.SZ,2021-11-30,sell,26000,43.466,282.53,1130.13,-99450.86
600519.SH,2021-12-01,sell,1500,1931.057,724.15,2896.59,108778.38
601088.SH,2021-12-03,buy,106600,22.623,602.89,0.0,0.0
000568.SZ,2021-12-03,buy,7500,252.552,473.54,0.0,0.0
003816.SZ,2021-12-03,buy,936100,3.003,702.78,0.0,0.0
000858.SZ,2021-12-03,buy,9900,229.679,568.46,0.0,0.0
600809.SH,2021-12-03,buy,7000,324.835,568.46,0.0,0.0
603986.SH,2021-12-03,buy,11100,176.666,490.25,0.0,0.0
600809.SH,2021-12-16,sell,7000,312.687,547.2,2188.81,-87768.58
600900.SH,2021-12-16,buy,17800,22.042,98.09,0.0,0.0
603986.SH,2021-12-20,sell,11100,163.317,453.2,1812.81,-150450.68
600900.SH,2021-12-20,sell,17800,21.728,96.69,386.76,-6068.56
003816.SZ,2021-12-20,sell,936100,2.977,696.7,2786.79,-27803.36
000858.SZ,2021-12-21,sell,9900,231.418,572.76,2291.04,14351.31
300498.SZ,2021-12-21,buy,131900,18.018,594.14,0.0,0.0
600585.SH,2021-12-21,buy,53000,41.231,546.31,0.0,0.0
601668.SH,2021-12-21,buy,546000,5.025,685.92,0.0,0.0
000538.SZ,2021-12-21,buy,22400,95.646,535.62,0.0,0.0
000568.SZ,2021-12-29,sell,7500,242.757,455.17,1820.68,-75740.6
601668.SH,2021-12-29,sell,546000,4.935,673.64,2694.54,-52486.34
601088.SH,2021-12-29,sell,106600,22.258,593.17,2372.67,-41862.05
300413.SZ,2021-12-30,buy,22900,55.055,315.19,0.0,0.0
000963.SZ,2021-12-30,buy,53500,40.811,545.84,0.0,0.0
002475.SZ,2021-12-30,buy,35300,48.559,428.53,0.0,0.0
000538.SZ,2022-01-05,sell,22400,98.461,551.38,2205.54,60319.02
600585.SH,2022-01-05,sell,53000,42.218,559.39,2237.54,49490.22
000963.SZ,2022-01-05,sell,53500,41.868,559.99,2239.94,53766.69
002475.SZ,2022-01-06,sell,35300,46.803,413.04,1652.15,-64029.4
300413.SZ,2022-01-07,sell,22900,54.855,314.05,1256.18,-6148.17
300498.SZ,2022-01-10,sell,131900,21.449,707.27,2829.06,448950.58
300274.SZ,2022-05-31,buy,16900,80.04,338.17,0.0,0.0
002594.SZ,2022-05-31,buy,6300,296.206,466.52,0.0,0.0
300014.SZ,2022-05-31,buy,18300,80.51,368.34,0.0,0.0
000963.SZ,2022-05-31,buy,50300,38.809,488.02,0.0,0.0
601012.SH,2022-05-31,buy,26100,79.279,517.3,0.0,0.0
600025.SH,2022-05-31,buy,298300,7.107,530.01,0.0,0.0
601012.SH,2022-06-06,sell,26100,60.559,395.15,1580.6,-490563.05
002475.SZ,2022-06-06,buy,46200,35.836,413.9,0.0,0.0
002475.SZ,2022-06-23,sell,46200,32.118,370.96,1483.84,-173624.1
002050.SZ,2022-06-23,buy,50700,26.046,330.13,0.0,0.0
300014.SZ,2022-06-29,sell,18300,97.482,445.98,1783.93,308357.51
300122.SZ,2022-06-29,buy,14100,109.609,386.37,0.0,0.0
300274.SZ,2022-07-05,sell,16900,87.842,371.13,1484.53,130000.0
600276.SH,2022-07-05,buy,50200,40.551,508.91,0.0,0.0
000963.SZ,2022-07-06,sell,50300,44.955,565.31,2261.24,306328.82
300498.SZ,2022-07-06,buy,61300,24.004,367.86,0.0,0.0
002594.SZ,2022-07-11,sell,6300,323.976,510.26,2041.05,172398.37
002714.SZ,2022-07-11,buy,29600,65.205,482.52,0.0,0.0
300122.SZ,2022-07-15,sell,14100,104.395,367.99,1471.98,-75357.37
600900.SH,2022-07-15,buy,117200,24.324,712.7,0.0,0.0
600025.SH,2022-07-21,sell,298300,6.923,516.29,2065.15,-57477.59
002049.SZ,2022-07-21,buy,9000,213.213,479.73,0.0,0.0
002714.SZ,2022-07-22,sell,29600,58.741,434.68,1738.74,-193506.05
600028.SH,2022-07-22,buy,632300,4.114,650.34,0.0,0.0
600276.SH,2022-07-25,sell,50200,38.442,482.44,1929.76,-108283.5
